pl_name,stars,moons,disc_year,orbital period,radius,mass,solar radius,solar mass,rotational velocity,distance,gaia magnitude
OGLE-2013-BLG-1721L b,1,0,2017,11.390966800000001,14.1,200.0,0.95,0.46,5.66956591796875,6300.0,13.148
OGLE-2013-BLG-1761L b,1,0,2018,11.390966800000001,13.2,860.0,0.95,0.33,5.66956591796875,6900.0,13.148
OGLE-2014-BLG-0124L b,1,0,2015,11.390966800000001,14.1,206.58846,0.95,0.9,5.66956591796875,3500.0,13.148
OGLE-2014-BLG-0221L b,1,0,2024,11.390966800000001,12.9,1382.55357,0.95,0.69,5.66956591796875,3680.0,13.148
OGLE-2014-BLG-0319L b,1,0,2022,11.390966800000001,14.1,181.16219,0.95,0.52,5.66956591796875,7730.0,13.148
OGLE-2014-BLG-0676L b,1,0,2016,11.390966800000001,13.0,1169.60854,0.95,0.73,5.66956591796875,2670.0,13.148
OGLE-2014-BLG-1722L b,1,0,2018,11.390966800000001,8.59,55.3,0.95,0.4,5.66956591796875,6400.0,13.148
OGLE-2014-BLG-1722L c,1,0,2018,11.390966800000001,11.0,83.7,0.95,0.4,5.66956591796875,6400.0,13.148
OGLE-2014-BLG-1760L b,1,0,2016,11.390966800000001,14.2,180.0,0.95,0.51,5.66956591796875,6860.0,13.148
OGLE-2015-BLG-0051L b,1,0,2016,11.390966800000001,14.0,230.0,0.95,0.1,5.66956591796875,8200.0,13.148
OGLE-2015-BLG-0954L b,1,0,2016,11.390966800000001,13.1,1100.0,0.95,0.3,5.66956591796875,1200.0,13.148
OGLE-2015-BLG-0966L b,1,0,2016,11.390966800000001,4.86,21.0,0.95,0.38,5.66956591796875,3300.0,13.148
OGLE-2015-BLG-1649L b,1,0,2019,11.390966800000001,13.2,807.0,0.95,0.34,5.66956591796875,4230.0,13.148
OGLE-2015-BLG-1670L b,1,0,2019,11.390966800000001,4.42,17.9,0.95,0.55,5.66956591796875,6700.0,13.148
OGLE-2015-BLG-1771L b,1,0,2020,11.390966800000001,14.3,138.0,0.95,0.08,5.66956591796875,7070.0,13.148
OGLE-2016-BLG-0263L b,1,0,2017,11.390966800000001,13.0,1300.0,0.95,0.13,5.66956591796875,6500.0,13.148
OGLE-2016-BLG-0613L AB b,2,0,2017,11.390966800000001,13.0,1330.0,0.95,0.72,5.66956591796875,3410.0,13.148
OGLE-2016-BLG-1067L b,1,0,2019,11.390966800000001,14.3,140.0,0.95,0.3,5.66956591796875,3730.0,13.148
OGLE-2016-BLG-1093L b,1,0,2022,11.390966800000001,14.0,225.65817,0.95,0.46,5.66956591796875,8120.0,13.148
OGLE-2016-BLG-1190L b,1,0,2017,1220.0,12.3,4253.0,0.95,0.88,5.66956591796875,6770.0,13.148
OGLE-2016-BLG-1195L b,1,0,2017,11.390966800000001,1.11,1.43,0.95,0.08,5.66956591796875,3910.0,13.148
OGLE-2016-BLG-1227L b,1,0,2020,11.390966800000001,13.9,250.0,0.95,0.1,5.66956591796875,396.379,13.148
OGLE-2017-BLG-0173L b,1,0,2018,11.390966800000001,1.62,3.269,0.95,0.4,5.66956591796875,4705.0,13.148
OGLE-2017-BLG-0373L b,1,0,2018,11.390966800000001,14.0,127.0,0.95,0.25,5.66956591796875,5915.0,13.148
OGLE-2017-BLG-0406L b,1,0,2020,11.390966800000001,14.2,130.0,0.95,0.56,5.66956591796875,5200.0,13.148
OGLE-2017-BLG-0448L b,1,0,2024,11.390966800000001,4.08,15.6,0.95,0.5,5.66956591796875,7530.0,13.148
OGLE-2017-BLG-0482L b,1,0,2018,11.390966800000001,2.95,9.0,0.95,0.2,5.66956591796875,5800.0,13.148
OGLE-2017-BLG-0604L b,1,0,2020,11.390966800000001,14.2,160.0,0.95,0.7,5.66956591796875,3950.0,13.148
OGLE-2017-BLG-0640L b,1,0,2024,11.390966800000001,13.5,514.88202,0.95,0.32,5.66956591796875,6630.0,13.148
OGLE-2017-BLG-1049L b,1,0,2020,11.390966800000001,12.8,1760.0,0.95,0.55,5.66956591796875,5670.0,13.148
OGLE-2017-BLG-1099L b,1,0,2021,11.390966800000001,13.1,959.84179,0.95,0.45,5.66956591796875,7250.0,13.148
OGLE-2017-BLG-1140L b,1,0,2018,11.390966800000001,13.5,505.0,0.95,0.21,5.66956591796875,396.379,13.148
OGLE-2017-BLG-1237L b,1,0,2024,11.390966800000001,13.0,1207.74795,0.95,0.46,5.66956591796875,6030.0,13.148
OGLE-2017-BLG-1275L b,1,0,2024,11.390966800000001,12.8,1875.1876,0.95,0.63,5.66956591796875,7690.0,13.148
OGLE-2017-BLG-1375L b,1,0,2020,11.390966800000001,12.4,3585.0,0.95,0.81,5.66956591796875,3930.0,13.148
OGLE-2017-BLG-1434L b,1,0,2018,11.390966800000001,1.94,4.43,0.95,0.23,5.66956591796875,860.0,13.148
OGLE-2017-BLG-1522L b,1,0,2018,11.390966800000001,14.0,240.0,0.95,0.04,5.66956591796875,7490.0,13.148
OGLE-2017-BLG-1691L b,1,0,2022,11.390966800000001,3.92,14.62011,0.95,0.45,5.66956591796875,7290.0,13.148
OGLE-2017-BLG-1806L b,1,0,2023,11.390966800000001,2.15,5.27,0.95,0.38,5.66956591796875,6400.0,13.148
OGLE-2018-BLG-0298L b,1,0,2022,11.390966800000001,7.56,44.49598,0.95,0.69,5.66956591796875,6540.0,13.148
OGLE-2018-BLG-0383L b,1,0,2022,11.390966800000001,2.41,6.4,0.95,0.1,5.66956591796875,7700.0,13.148
OGLE-2018-BLG-0506L b,1,0,2022,11.390966800000001,4.18,16.3,0.95,0.63,5.66956591796875,5600.0,13.148
OGLE-2018-BLG-0516L b,1,0,2022,11.390966800000001,4.73,20.1,0.95,0.47,5.66956591796875,7000.0,13.148
OGLE-2018-BLG-0532L b,1,0,2020,11.390966800000001,2.37,6.228,0.95,0.2,5.66956591796875,773.0,13.148
OGLE-2018-BLG-0567L b,1,0,2021,11.390966800000001,12.3,101.70509,0.95,0.25,5.66956591796875,7060.0,13.148
OGLE-2018-BLG-0596L b,1,0,2019,11.390966800000001,3.81,13.93,0.95,0.23,5.66956591796875,5650.0,13.148
OGLE-2018-BLG-0677L b,1,0,2020,11.390966800000001,1.82,3.96,0.95,0.12,5.66956591796875,7580.0,13.148
OGLE-2018-BLG-0740L b,1,0,2019,5480.0,12.9,1500.0,0.95,1.0,5.66956591796875,3200.0,13.148
OGLE-2018-BLG-0799L b,1,0,2022,11.390966800000001,10.9,82.63539,0.95,0.09,5.66956591796875,4050.0,13.148
OGLE-2018-BLG-0932L b,1,0,2022,11.390966800000001,13.9,282.86728,0.95,0.72,5.66956591796875,6620.0,13.148
OGLE-2018-BLG-0962L b,1,0,2021,11.390966800000001,13.6,425.89007,0.95,0.54,5.66956591796875,6500.0,13.148
OGLE-2018-BLG-0977L b,1,0,2022,11.390966800000001,2.41,6.4,0.95,0.47,5.66956591796875,6500.0,13.148
OGLE-2018-BLG-1011L b,1,0,2019,11.390966800000001,13.5,570.0,0.95,0.18,5.66956591796875,7100.0,13.148
OGLE-2018-BLG-1011L c,1,0,2019,11.390966800000001,13.2,890.0,0.95,0.18,5.66956591796875,7100.0,13.148
OGLE-2018-BLG-1119L b,1,0,2022,11.390966800000001,13.9,289.22385,0.95,0.48,5.66956591796875,5760.0,13.148
