pl_name,stars,moons,disc_year,orbital period,radius,mass,equilibrium temp,solar radius,solar mass,rotational velocity,distance,gaia magnitude
Kepler-1737 b,1,0,2021,64.61750031,5.395,25.1,383,0.88,0.83,,,15.3741
Kepler-1738 b,1,0,2021,7.67463016,2.825,8.37,957,1,1.08,,1302.87,15.4178
Kepler-1739 b,1,0,2021,7.34370995,2.431,6.48,839,0.76,0.86,,783.666,14.6422
Kepler-174 b,1,0,2014,13.98179,1.96,4.5,553,0.62,0.6,,384.757,14.2858
Kepler-174 c,1,0,2014,44.000529,1.49,2.83,377,0.62,0.6,,384.757,14.2858
Kepler-174 d,1,0,2014,247.35373,2.19,5.43,212,0.62,0.6,,384.757,14.2858
Kepler-1740 b,1,0,2021,8.17240047,3.323,11,858,0.91,0.94,,1061.77,15.2863
Kepler-1741 b,1,0,2021,2.75759006,1.273,2.16,615,0.42,0.45,,270.739,15.6903
Kepler-1742 b,1,0,2021,49.47819901,2.178,5.38,462,0.85,0.94,,669.573,14.3735
Kepler-1743 b,1,0,2021,7.64971018,1.599,3.18,1144,1.61,1.27,,538.807,11.9354
Kepler-1744 b,1,0,2021,37.10110092,3.768,13.6,532,0.85,0.89,,1091.63,15.2558
Kepler-1745 b,1,0,2021,3.01619005,1.929,4.38,1449,1.4,0.99,,996.105,14.8649
Kepler-1746 b,1,0,2021,321.2120056,8.935,59.1,310,1.29,1.09,,979.541,13.4903
Kepler-1747 b,1,0,2021,6.23031998,4.265,16.8,875,0.86,0.98,,1321.38,15.9687
Kepler-1748 b,1,0,2021,5.82352018,2.713,7.81,955,0.86,0.92,,1083.28,15.8529
Kepler-1749 b,1,0,2021,14.53409958,1.613,3.23,420,0.55,0.55,,268.2,14.6958
Kepler-175 b,1,0,2014,11.903515,2.56,7.08,827,1.01,1.12,,1312.34,14.9115
Kepler-175 c,1,0,2014,34.035257,3.1,9.8,583,1.01,1.12,,1312.34,14.9115
Kepler-1750 b,1,0,2021,205.9120026,6.004,30.1,298,0.97,0.98,,1497.33,15.5339
Kepler-1751 b,1,0,2021,7.01731014,1.824,3.98,984,0.97,0.97,,1291.47,15.232
Kepler-1752 b,1,0,2021,56.35850143,4.541,18.7,419,0.82,0.82,,962.888,15.796
Kepler-1753 b,1,0,2021,16.00460052,2.227,5.59,583,0.77,0.86,,707.688,15.5134
Kepler-1754 b,1,0,2021,8.19594955,2.44,6.53,672,0.75,0.73,,718.945,15.8578
Kepler-1755 b,1,0,2021,24.81209946,5.917,29.4,631,0.92,1,,982.383,14.3856
Kepler-1756 b,1,0,2021,2.35575008,1.472,2.77,1093,0.81,0.78,,,15.6634
Kepler-1757 b,1,0,2021,19.65640068,2.947,8.99,549,0.74,0.83,,807.308,15.3679
Kepler-1758 b,1,0,2021,9.97721005,2.571,7.13,1028,1.62,1.04,,1588.41,14.9449
Kepler-1759 b,1,0,2021,3.7202301,0.904,0.676,954,0.8,0.76,,385.348,14.2601
Kepler-176 b,1,0,2014,5.433074,1.43,2.63,841,0.89,0.79,,527.321,14.5446
Kepler-176 c,1,0,2014,12.759712,2.6,23,633,0.89,0.79,,527.321,14.5446
Kepler-176 d,1,0,2014,25.751974,2.51,15.2,501,0.89,0.79,,527.321,14.5446
Kepler-176 e,1,0,2016,51.16579,1.45,2.7,398,0.83,0.87,,527.321,14.5446
Kepler-1760 b,1,0,2021,38.3260994,2.29,5.86,480,0.9,0.82,,,14.3017
Kepler-1761 b,1,0,2021,4.04354,1.391,2.51,613,0.53,0.57,,221.186,14.898
Kepler-1762 b,1,0,2021,29.53910065,2.76,8.05,714,1.24,1.3,,1663.74,15.083
Kepler-1763 b,1,0,2021,1.48028004,1.147,1.59,1822,1.26,1.03,,756.486,13.5105
Kepler-1764 b,1,0,2021,70.46829987,4.555,18.8,511,1.13,1.16,,1542.48,14.7454
Kepler-1765 b,1,0,2021,10.41889954,2.495,6.78,855,1.06,0.95,,764.456,14.8213
Kepler-1766 b,1,0,2021,105.0149994,2.279,5.81,406,1.04,0.92,,501.229,12.8705
Kepler-1767 b,1,0,2021,59.65829849,3.013,9.34,393,0.83,0.89,,820.506,15.7151
Kepler-1768 b,1,0,2021,15.13589954,2.233,5.62,933,1.57,1.24,,632.766,13.4376
Kepler-1769 b,1,0,2021,89.1934967,4.465,18.2,483,1.3,1.06,,438.412,12.445
Kepler-177 b,1,0,2013,36.8601,3.5,5.84,549,1.32,0.92,,1435.44,14.9414
Kepler-177 c,1,0,2013,49.40926,8.73,14.7,497,1.32,0.92,,1435.44,14.9414
Kepler-1770 b,1,0,2021,16.84189987,2.841,8.45,699,1.01,0.94,,582.942,14.2972
Kepler-1771 b,1,0,2021,88.64399719,4.055,15.5,391,0.93,0.94,,565.752,13.7005
Kepler-1772 b,1,0,2021,3.21509004,2.686,7.68,1155,0.93,0.94,,871.564,13.3948
Kepler-1773 b,1,0,2021,40.80970001,3.505,12.1,623,1.3,1.24,,681.255,12.9455
Kepler-1774 b,1,0,2021,59.77080154,3.182,10.2,522,1.12,1.1,,816.592,13.8899
Kepler-1775 b,1,0,2021,85.65399933,3.648,12.9,522,1.65,1.15,,657.023,13.2765
Kepler-1776 b,1,0,2021,35.01190186,2.612,7.33,603,1.15,1.04,,690.336,13.5571
Kepler-1777 b,1,0,2021,12.18420029,2.132,5.19,819,1.07,0.98,,619.146,13.9541
Kepler-1778 b,1,0,2021,10.08740044,3.017,9.36,942,1.09,1.14,,1276.29,15.0421
Kepler-1779 b,1,0,2021,16.34359932,3.033,9.44,730,1.06,1.01,,908.501,14.9927
Kepler-178 b,1,0,2014,9.576694,2.9,8.75,846,1.07,0.94,,716.025,14.5782
Kepler-178 c,1,0,2014,20.552802,2.88,8.65,656,1.07,0.94,,716.025,14.5782
Kepler-178 d,1,0,2014,96.678988,3.95,14.8,392,1.07,0.94,,716.025,14.5782
Kepler-1780 b,1,0,2021,109.4449997,3.606,12.7,340,0.87,0.87,,790.516,14.9304
Kepler-1781 b,1,0,2021,4.88752985,2.381,6.26,1003,0.96,1.05,,962.63,15.7348
Kepler-1782 b,1,0,2021,5.75622988,2.229,5.6,773,0.73,0.79,,305.792,13.7041
Kepler-1783 b,1,0,2021,8.27744007,1.319,2.3,1088,1.78,0.89,,264.078,13.0982
Kepler-1784 b,1,0,2021,13.59049988,2.799,8.24,724,0.97,0.89,,883.045,15.1562
Kepler-1785 b,1,0,2021,19.58550072,2.704,7.77,666,1,0.91,3.8,745.74,14.1632
Kepler-1786 b,1,0,2021,78.5460968,3.163,10.1,501,1.4,1.06,,863.909,14.0789
Kepler-1787 b,1,0,2021,39.31370163,2.319,5.99,540,0.93,1.01,,778.602,14.4604
Kepler-1788 b,1,0,2021,2.80012012,2.379,6.25,956,0.7,0.69,,560.445,15.254
Kepler-1789 b,1,0,2021,80.23190308,2.831,8.4,380,0.89,0.92,,611.461,14.3155
Kepler-179 b,1,0,2014,2.735926,1.64,3.33,1075,0.76,0.84,3,605.68,14.6031
Kepler-179 c,1,0,2014,6.40013,2,4.66,810,0.76,0.84,3,605.68,14.6031
Kepler-1790 b,1,0,2021,31.58889961,3.145,10,682,1.37,1.02,,1070.17,14.0943
Kepler-1791 b,1,0,2021,7.72086,3.121,9.91,1021,1.18,0.99,,602.218,13.4138
Kepler-1792 b,1,0,2021,4.1957798,2.52,6.89,1047,1.01,0.88,,601.029,15.1726
Kepler-1793 b,1,0,2021,8.77999973,3.79,13.8,713,0.76,0.85,,1189.88,15.9003
Kepler-1794 b,1,0,2021,9.76298046,1.794,3.87,703,0.82,0.77,,561.229,15.2846
Kepler-1795 b,1,0,2021,13.36019993,1.663,3.4,520,0.69,0.77,,,15.7903
Kepler-1796 b,1,0,2021,29.4557991,2.75,8,598,0.95,1.02,,825.883,14.354
Kepler-1797 b,1,0,2021,23.3593998,3.058,9.58,684,1.01,1.07,,1338.49,15.293
Kepler-1798 b,1,0,2021,16.85589981,2.309,5.94,408,0.59,0.59,,395.196,15.6827
Kepler-1799 b,1,0,2021,11.9296999,4.128,15.9,770,0.92,1.02,,2254.69,15.826
Kepler-18 b,1,0,2011,3.504725,2,6.9,1165,1.11,0.97,4,433.047,13.5393
Kepler-18 c,1,0,2011,7.64159,5.49,17.3,899,1.11,0.97,4,433.047,13.5393
Kepler-18 d,1,0,2011,14.85888,6.98,16.4,720,1.11,0.97,4,433.047,13.5393
Kepler-180 b,1,0,2014,13.817124,1.5,2.86,781,1.06,0.95,,695.65,14.325
Kepler-180 c,1,0,2014,41.885775,3.01,9.32,540,1.06,0.95,,695.65,14.325
Kepler-1800 b,1,0,2021,4.56202984,0.997,0.961,1533,2.51,1.33,,350.455,13.0751
Kepler-1801 b,1,0,2021,10.44089985,2.709,7.8,829,0.98,0.94,,839.332,15.0715
Kepler-1801 c,1,0,2023,116.583183,2.91,8.8,371,0.98,0.94,,839.332,15.0715
Kepler-1802 b,1,0,2021,15.45020008,1.671,3.43,581,0.64,0.65,,636.694,16.5052
Kepler-1802 c,1,0,2021,33.13610077,2.322,6,357,0.64,0.65,,636.694,16.5052
Kepler-1804 b,1,0,2021,12.28849983,1.596,3.18,913,1.67,0.93,,434.456,14.4269
Kepler-1805 b,1,0,2021,8.84794044,1.545,3,479,0.55,0.58,,221.639,14.8955
Kepler-1806 b,1,0,2021,9.03332043,2.356,6.15,729,0.79,0.88,,978.066,15.9071
